Sensor ID :    1
  Peak Pressure(bar)	          Time Index	      Rise Time(sec)	  Duration Time(sec)
  2.206062335503e-02	            18396705	  2.249744175875e-02	  3.887483551006e-02
  3.753646327463e-02	            18426611	  6.412706969963e-04	  8.292683501490e-04
  3.116959744489e-02	            18456841	  8.522600323141e-03	  9.760517226220e-03
  3.601846751967e-02	            18486931	  2.026976775824e-04	  2.244253784697e-03
  2.100340949651e-02	            18565426	  9.324925014233e-03	  3.623731633601e-02
  4.293940716110e-02	            18906525	  1.057158305452e-02	  1.262110721871e-02
  2.158277611200e-02	            18971044	  4.009353793797e-03	  3.404358850153e-02
  2.178563416850e-02	            19368738	  1.385621671045e-02	  3.130819034603e-02
  5.707959619801e-02	            19445700	  5.632110011980e-04	  1.255314670801e-03
  2.011758962661e-02	            19473195	  1.605103365175e-02	  4.074334134901e-02
  2.567160346704e-02	            19503858	  2.565114177375e-03	  2.833308536066e-03
  2.175951986194e-02	            19696432	  2.128659828092e-02	  2.741480806899e-02
  3.627584903252e-02	            19764937	  3.226089717603e-04	  7.306627817875e-03
  2.408126161094e-02	            19864918	  1.510062244826e-02	  2.993115875443e-02
  2.816094025840e-02	            20439843	  2.569770928862e-02	  3.644777607927e-02
  2.779654092796e-02	            20469111	  1.059831147980e-03	  2.182804726068e-02
  2.822390200736e-02	            20688529	  1.416932782555e-04	  1.834685915296e-02
  2.590796932344e-02	            20746155	  2.316645698534e-02	  3.282970795929e-02
  5.223565493570e-02	            20776784	  1.327583624819e-03	  6.460718988545e-03
  2.537572614722e-02	            20923129	  7.796549608400e-03	  1.977954289359e-02
  2.601993002945e-02	            21028796	  7.583888474508e-03	  1.743580605113e-02
  4.268916461586e-02	            21292282	  1.856259628985e-03	  2.204001643408e-03
  2.806468179743e-02	            21416525	  4.092587564332e-04	  5.753369048382e-04
  5.388024510287e-02	            21532193	  3.524760366354e-04	  7.003640918819e-04
  2.591300988573e-02	            21595941	  7.409712200834e-03	  1.537997243038e-02
  7.086659392963e-02	            21706542	  2.023665085938e-04	  3.150889129699e-04
  4.584885007186e-02	            21736036	  6.290152024735e-04	  9.810873208262e-04
  1.109700823798e-01	            21948193	  5.820252707108e-04	  2.806976419149e-03
  3.002381269493e-02	            22132420	  3.395915961810e-04	  4.437303872525e-04
  4.708533665829e-02	            22161345	  1.238856204458e-04	  7.254236162882e-04
  3.050641422894e-02	            22374609	  1.383920133908e-04	  2.862657008240e-04
  2.811423287908e-02	            22436054	  2.391096414772e-03	  5.139486366427e-03
  7.557905344905e-02	            22566325	  2.094504376444e-04	  2.921011715436e-04
  3.138310620442e-02	            22662698	  1.926031948540e-02	  2.095553888658e-02
  2.758132059476e-02	            22786117	  2.133065176700e-02	  2.163924137007e-02
  3.893715383275e-02	            23041003	  3.060623973574e-03	  9.843354557360e-03
  3.181703938315e-02	            23121227	  1.966411134056e-03	  2.935721603868e-03
  2.854867679732e-02	            23236905	  7.045265503983e-03	  3.088890251439e-02
  3.471354724363e-02	            23264498	  9.189552565838e-04	  1.197512206467e-03
  2.089620221521e-02	            23438217	  7.454235210208e-03	  2.722564502993e-02
  2.224290287542e-02	            23499536	  1.197983877852e-02	  2.894312527285e-02
  2.970039154747e-02	            23612657	  6.321373319205e-04	  2.059819880657e-02
  3.028306047990e-02	            23821248	  3.996536798206e-03	  4.246033324126e-03
  2.691439609679e-02	            24000021	  2.655598576420e-04	  1.174901209816e-03
  2.831174126603e-02	            24195036	  4.463695055805e-03	  5.256531964235e-03
  2.895899450034e-02	            24226776	  6.759077896651e-03	  2.204099427754e-02
  3.097421668541e-02	            24322744	  1.415445981992e-03	  1.657751304923e-03
  3.855321997966e-02	            24354867	  4.971568757002e-04	  1.652996758760e-03
  2.740440826377e-02	            24468106	  2.528239870125e-03	  1.377085984838e-02
  3.184527846847e-02	            24673885	  1.124290220759e-03	  1.262049080488e-03
  4.133618944828e-02	            24705928	  1.036272566341e-03	  1.533407119538e-03
  4.395317484290e-02	            24803816	  9.782917926363e-04	  1.472807909776e-03
  2.079252057467e-02	            24875114	  1.492188886236e-02	  3.930162983104e-02
  4.274308170444e-02	            24959514	  1.758738958775e-03	  3.722607613342e-03
  2.918295207106e-02	            25171882	  7.345379148733e-04	  3.632224524972e-02
  2.246145707077e-02	            25238100	  2.128713520764e-04	  2.739605815298e-02
  7.343073775377e-02	            25355456	  7.748702888291e-04	  9.743646160651e-04
  3.325873444630e-02	            25384971	  4.496637892734e-03	  1.243362063964e-02
  4.359884506660e-02	            25444046	  1.369315053186e-03	  1.716449407637e-03
  2.189824212291e-02	            25475519	  2.620718688092e-02	  3.642675008601e-02
  3.738312359473e-02	            25531152	  3.996519375778e-03	  6.381072491431e-03
  2.034569386550e-02	            25557148	  1.190109471832e-02	  4.025249041179e-02
  2.393328056990e-02	            25673508	  6.703182080663e-03	  3.375060802569e-02
  2.024537233704e-02	            25757528	  5.184804780119e-03	  5.888211081019e-03
  2.267672678077e-02	            25840691	  2.878336039814e-02	  4.137461576588e-02
  2.155029333721e-02	            25938536	  1.964489066755e-02	  3.160547698636e-02
  2.513275511994e-02	            26036623	  3.302924199122e-04	  2.015137847292e-03
  2.146443069525e-02	            26130725	  6.937885631854e-05	  1.274639928607e-04
  3.358034545860e-02	            26159688	  8.397294237495e-04	  1.334179739162e-03
  2.063359235670e-02	            26301664	  3.646345319047e-04	  7.587400715320e-04
  4.604224498711e-02	            26331822	  2.664501253331e-04	  3.162625683820e-03
  9.138842962844e-02	            26436057	  5.658120808848e-04	  6.670298035330e-04
  4.122693786507e-02	            26543770	  1.059283376214e-03	  1.555154091268e-03
  2.231232810040e-02	            26679998	  2.444227153018e-02	  3.495740631608e-02
  2.180398623098e-02	            26799041	  5.399110962854e-03	  2.629900685329e-02
  4.968324152172e-02	            26831126	  5.285590537615e-04	  3.178354157294e-03
  3.059225698180e-02	            26862131	  1.566842456852e-02	  1.580029394215e-02
  2.383256868378e-02	            26968847	  1.407165374849e-02	  2.727720685397e-02
  2.787641738116e-02	            27000605	  9.883830442070e-04	  1.446648173327e-03
  2.080318213327e-02	            27113718	  1.621114498190e-02	  3.629895590087e-02
  2.170531735030e-02	            27202504	  1.143848853084e-02	  3.079936893695e-02
  2.661703209631e-02	            27265756	  3.629772059863e-03	  1.019997748141e-02
  2.228606830959e-02	            27438629	  8.741468032343e-03	  3.133320279069e-02
  6.040069144966e-02	            27472444	  6.050300953220e-03	  7.109849848179e-03
  6.097535719203e-02	            27499761	  7.807013041228e-04	  1.157846059867e-03
  3.214672208017e-02	            27535562	  3.059475632113e-03	  1.318739400302e-02
  2.073308414988e-02	            27566383	  1.059117504025e-03	  3.785449211594e-02
  1.004669940799e-01	            27644212	  2.694308090022e-03	  3.268056775790e-03
  2.699312502203e-02	            27674028	  6.209214327318e-04	  7.011899918260e-04
  3.707263347865e-02	            27730385	  1.060324693971e-03	  8.326675643578e-03
  2.410409424603e-02	            27759565	  1.170548626996e-02	  3.123597399178e-02
  2.220916351220e-02	            27789288	  1.138074395493e-02	  1.749868601775e-02
  3.656865920141e-02	            27816752	  1.259357717625e-04	  8.589832099498e-04
  5.740670859176e-02	            28075064	  1.962784370463e-03	  2.325325221140e-03
  2.926414619839e-02	            28150712	  9.982991758873e-04	  5.478190461730e-03
  2.934925829102e-02	            28214579	  2.777104183251e-03	  1.388963860922e-02
  3.771553523421e-02	            28340631	  1.548871059712e-03	  4.338564171227e-03
  2.237208443417e-02	            28392920	  1.404077923093e-02	  3.078627531193e-02
  4.344059726937e-02	            28420334	  2.043741788321e-04	  5.399482551906e-04
  2.711123994793e-02	            28603735	  3.168790782365e-03	  1.712195356919e-02
  2.050401270726e-02	            28638729	  1.359520963827e-02	  3.621432774442e-02
  6.981220806282e-02	            28701287	  1.964427382774e-04	  3.048598253118e-04
  3.880562308942e-01	            28730921	  1.973021411033e-04	  3.365992397910e-04
  6.530149015862e-02	            28843948	  8.509766482058e-04	  5.222844841376e-03
  4.048612603715e-02	            28902379	  2.136031722150e-04	  3.249905659736e-04
  3.054545935552e-02	            29065591	  4.344944474581e-03	  2.951810540177e-02
  2.440019170957e-02	            29130268	  1.631735765289e-02	  1.707360048249e-02
  4.526399953991e-02	            29286680	  2.784830980474e-03	  4.308456412584e-03
  4.704670722153e-02	            29314787	  2.315678226637e-03	  3.055944427761e-03
  2.961701985378e-02	            29343668	  6.630418741486e-04	  8.112830153674e-04
  2.958640283578e-02	            29509659	  4.494735104332e-03	  1.822355316989e-02
  2.369273329930e-02	            29577389	  1.415125484967e-02	  4.317457242938e-02
  8.367200736333e-02	            29662812	  6.932414675158e-04	  1.326231023534e-03
  2.046160370888e-02	            29874468	  1.437315437503e-02	  4.713408971857e-02
  2.243146561607e-02	            29975861	  2.436487796655e-02	  2.462565412476e-02
  3.054425013489e-02	            30105555	  1.541991057239e-02	  2.029389830067e-02
  4.289347813066e-02	            30308181	  1.342151622494e-03	  2.857308484056e-03
  2.551278107298e-02	            30333449	  1.138563820971e-02	  3.304617881453e-02
  2.539551795289e-02	            30540381	  9.339141148459e-03	  1.747463442055e-02
  2.977089216603e-02	            30782537	  4.915945500361e-04	  5.524740139537e-04
  4.491704405843e-02	            30934143	  4.812511705419e-04	  2.406709755367e-03
  2.813258373830e-02	            31168433	  1.790482932328e-02	  1.804157611177e-02
  2.040723438798e-02	            31260042	  5.331041607672e-03	  9.950070184883e-03
  2.086870623544e-02	            31375118	  1.825349952270e-02	  3.204720717048e-02
  2.190276920534e-02	            31404216	  3.062481386662e-03	  3.123307839077e-02
  3.469829420550e-02	            31432218	  1.189414912430e-03	  7.101545738073e-03
  8.783265119708e-02	            31614626	  8.361063442894e-04	  1.478246394947e-03
  5.334028328164e-02	            31675848	  5.617719274311e-04	  8.434093104089e-04
  2.487322805421e-02	            31736855	  1.423444297187e-03	  1.512194706212e-03
  2.163435261247e-02	            31861975	  1.042617790792e-02	  2.732511770897e-02
  2.047636406694e-02	            32050446	  3.277475749962e-04	  5.875988464285e-04
  8.208782932855e-02	            32080498	  4.014375353245e-04	  2.327623103699e-03
  4.279377273360e-02	            32175661	  2.478966453582e-04	  3.132699181297e-04
  9.427808401067e-02	            32242123	  9.821593568204e-04	  1.084854551495e-03
  2.279486526279e-02	            32269787	  1.959927081896e-04	  4.030744532325e-04
  4.507596525126e-02	            32484520	  4.990230728378e-04	  9.874180943851e-04
  2.239828204411e-02	            32565221	  6.385652521700e-04	  3.184627432740e-02
  2.430025192201e-02	            32598369	  9.956213585515e-04	  1.200916788685e-03
  2.073499790200e-02	            32904308	  1.782276370241e-02	  3.378297551684e-02
  2.370519615251e-02	            32968142	  2.650581712500e-03	  8.341002106500e-03
  3.039125019948e-02	            33140686	  3.875754093386e-03	  3.274656666389e-02
  2.915887732360e-02	            33170452	  1.263290838100e-04	  2.662628953555e-04
  3.467108993899e-02	            33201009	  1.177635006386e-03	  1.531956618050e-03
  5.498282127433e-02	            33311097	  4.622618775162e-03	  5.405763375456e-03
  3.523616960908e-02	            33376496	  1.118133580721e-02	  1.236441793236e-02
  4.011316858553e-02	            33479692	  1.762155280188e-03	  2.198865590865e-03
  3.306121291289e-02	            33507225	  6.903728760618e-04	  2.672884944097e-02
  3.789899655446e-02	            33802053	  1.570529173320e-03	  2.092520198217e-02
